method,status,error,device,device_name,epochs,train_samples,val_samples,batch_size,batches_per_epoch,total_batches,elapsed_seconds,seconds_per_epoch,seconds_per_batch,final_loss,history_epochs,num_parameters,num_trainable_parameters,started_at,ended_at
dadgp,ok,,cuda,NVIDIA GeForce RTX 2060,500,400,400,128,4,2000,397.7914432099933,0.7955828864199866,0.19889572160499666,-1.2161065936088562,500,136630,136630,2026-05-01T12:27:36,2026-05-01T12:34:14
baseline_equal,ok,,cuda,NVIDIA GeForce RTX 2060,500,400,400,128,4,2000,100.5735110079986,0.2011470220159972,0.0502867555039993,-0.2555132694542408,500,136630,136630,2026-05-01T12:34:14,2026-05-01T12:35:54
baseline_pure_dgp,ok,,cuda,NVIDIA GeForce RTX 2060,500,400,400,128,4,2000,99.55607205900014,0.1991121441180003,0.049778036029500074,-1.0235538482666016,500,136630,136630,2026-05-01T12:35:54,2026-05-01T12:37:34
baseline_dwa,ok,,cuda,NVIDIA GeForce RTX 2060,500,400,400,128,4,2000,109.25329838099424,0.21850659676198847,0.05462664919049712,0.17984380386769772,500,136630,136630,2026-05-01T12:37:34,2026-05-01T12:39:23
baseline_uw,ok,,cuda,NVIDIA GeForce RTX 2060,500,400,400,128,4,2000,96.04018184200686,0.1920803636840137,0.04802009092100343,0.27963045984506607,500,136630,136630,2026-05-01T12:39:23,2026-05-01T12:40:59
baseline_mgda,ok,,cuda,NVIDIA GeForce RTX 2060,500,400,400,128,4,2000,164.87113507000322,0.32974227014000645,0.08243556753500161,-0.779210274418195,500,136630,136630,2026-05-01T12:40:59,2026-05-01T12:43:44
baseline_indep_dgp,ok,,cuda,NVIDIA GeForce RTX 2060,500,400,400,128,4,2000,163.39700204500696,0.3267940040900139,0.08169850102250348,-0.23896506056189537,500,306933,306933,2026-05-01T12:43:44,2026-05-01T12:46:27
baseline_indep_hetgp,ok,,cuda,NVIDIA GeForce RTX 2060,500,400,400,128,4,2000,10.514851048006676,0.02102970209601335,0.005257425524003338,0.7120205760002136,500,21,21,2026-05-01T12:46:27,2026-05-01T12:46:38
baseline_lmc_dgp,ok,,cuda,NVIDIA GeForce RTX 2060,500,400,400,128,4,2000,103.34913542299182,0.20669827084598363,0.05167456771149591,-1.1790593564510345,500,136651,136651,2026-05-01T12:46:38,2026-05-01T12:48:21
ablation_no_sample_attn,ok,,cuda,NVIDIA GeForce RTX 2060,500,400,400,128,4,2000,387.77728624499287,0.7755545724899857,0.19388864312249643,-1.781270146369934,500,136630,136630,2026-05-01T12:48:21,2026-05-01T12:54:49
